id,name,link,image
76,Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-residency-road/order,https://b.zmtcdn.com/data/pictures/chains/8/50708/486d8f30ecda00b9ce9de7dc14c6fe0b_o2_featured_v2.jpg
77,Baskin Robbins - Ice Cream Desserts,https://www.zomato.com/bangalore/baskin-robbins-ice-cream-desserts-1-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/51454/ec37a79363ae4ea88c3be9ccd7989873_o2_featured_v2.jpg
78,Donne Biryani House,https://www.zomato.com/bangalore/donne-biryani-house-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/60846/ea8d02a09f700dd295ab1d26d981438b_o2_featured_v2.jpg
79,Glen's Bakehouse,https://www.zomato.com/bangalore/glens-bakehouse-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/56464/18163c7b780365d66811997d9d118ae5_o2_featured_v2.jpg
80,Madeena Hotel,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/18140795/04a11aedf8b6c567b4a326986189c69e_o2_featured_v2.jpg
81,Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/19763193/1e4be0b5e0f970aef41328752d9c4bc1_o2_featured_v2.jpg
82,Kolkata Famous Kati Rolls,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18387413/afdc75801ab2d5a44c438f0cb77b270e_o2_featured_v2.jpg
83,Thalairaj Biryani,https://www.zomato.com/bangalore/thalairaj-biryani-sadashiv-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/19494942/6c0a07c8eb3513757ac4802a1d03b21f_o2_featured_v2.jpg
84,Savoury Restaurant,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,https://b.zmtcdn.com/data/pictures/chains/9/54159/9ddf86d5e2bab8a379246e3e213e397e_o2_featured_v2.jpg
85,Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order,
86,Chaat Street - Desi Chaat & Chai,https://www.zomato.com/bangalore/chaat-street-desi-chaat-chai-koramangala-6th-block-bangalore/order,
87,Goli Vada Pav,https://www.zomato.com/bangalore/goli-vada-pav-thippasandra-bangalore/order,
88,Potful - Claypot Biryanis,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/18545945/17eca444413edd57c6ecad3814e3202d_o2_featured_v2.jpg
89,Punjabi Nawabi Pure Veg,https://www.zomato.com/bangalore/punjabi-nawabi-pure-veg-banashankari-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/18489118/a39228f63559b763c6928e91fbdf4942_o2_featured_v2.jpg
90,New Taj Darbar,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,https://b.zmtcdn.com/images/placeholder_200.png?output-quality=70
91,Big Bowl,https://www.zomato.com/bangalore/big-bowl-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/19715682/bb650a06b1b9ea242a122fb5b7aa6b60_o2_featured_v2.jpg
92,New Udupi Grand,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/8/19122738/f4982bf2b6976b8da0f2dcc89ead0e10_o2_featured_v2.jpg
93,Kolkata Kathi Rolls,https://www.zomato.com/bangalore/kolkata-kathi-rolls-jp-nagar/order,https://b.zmtcdn.com/data/pictures/chains/2/18541482/ab24542264a097b434b8611da429cfea_o2_featured_v2.jpg
94,Vijayalakshmi,https://www.zomato.com/bangalore/vijayalakshmi-basavanagudi-bangalore/order,
95,Chulha Chauki Da Dhaba,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-indiranagar-bangalore/order,
96,Pizza House,https://www.zomato.com/bangalore/pizza-house-1-rt-nagar-bangalore/order,
97,Smoor,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/52971/092c65b5f43b66346dfbc4c625f3deca_o2_featured_v2.jpg
98,Hari Super Sandwich,https://www.zomato.com/bangalore/hari-super-sandwich-1-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/51571/af8fe6df3d53d9df39e651d9ecde28c5_o2_featured_v2.jpg
99,LunchBox - Meals and Thalis,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/19410919/a350c22d22c1e538c68c35c85e7695bf_o2_featured_v2.jpg
100,Kolkata Famous Kati Roll,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18163846/9c78044528f832445aa2e99ab26769e2_o2_featured_v2.jpg
101,Dairy Day Ice Creams & Frozen Desserts,https://www.zomato.com/bangalore/dairy-day-ice-creams-frozen-desserts-wilson-garden-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/19460604/5a0159374fa17f355ade5994eea82ad8_o2_featured_v2.jpg
102,Chicken County Deluxe Restaurant,https://www.zomato.com/bangalore/chicken-county-deluxe-restaurant-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/3/58323/932ba88375afc5eb892eb6c4d32a79a1_o2_featured_v2.jpg
103,Great Indian Khichdi by EatFit,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/19413979/0bfebefe6eef023c5c0c1f49dd0e97e2_o2_featured_v2.jpg
104,Haldiram's Restaurant,https://www.zomato.com/bangalore/haldirams-restaurant-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/1/20890111/d4fbef9ea1011479349aa3a11e5e5245_o2_featured_v2.jpg
105,Dil Punjabi By Dil Foods,https://www.zomato.com/bangalore/dil-punjabi-by-dil-foods-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/5/20908465/38635189cb631c75d7537bb798929864_o2_featured_v2.jpg
106,ITC Aashirvaad Soul Creations,https://www.zomato.com/bangalore/itc-aashirvaad-soul-creations-commercial-street-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/20496588/886189f4cb602f025b3a9cb8dad931d2_o2_featured_v2.jpg
107,Shanmukha,https://www.zomato.com/bangalore/shanmukha-1-jp-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/52015/dccb305e6737b14432a72e39cca12f18_o2_featured_v2.jpg
108,New Udupi Garden,https://www.zomato.com/bangalore/new-udupi-garden-airport-road-bangalore/order,https://b.zmtcdn.com/data/pictures/3/18671013/eca280a6340c48560dc72b42e8991716_o2_featured_v2.jpg
109,Samosa Party,https://www.zomato.com/bangalore/samosa-party-hosur-road-bangalore/order,
110,Asha Sweet Center - Since 1951,https://www.zomato.com/bangalore/asha-sweet-center-since-1951-shanti-nagar-bangalore/order,
111,AB's - Absolute Barbecues,https://www.zomato.com/bangalore/abs-absolute-barbecues-koramangala-5th-block-bangalore/order,
112,Sreeraj Lassi Bar - Since 1973,https://www.zomato.com/bangalore/sreeraj-lassi-bar-since-1973-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/53762/10fbea584a3f287b5999dabf63ceeb03_o2_featured_v2.jpg
113,Kolkata No. 1 Kati Rolls,https://www.zomato.com/bangalore/kolkata-no-1-kati-rolls-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/8/19860138/7c16fb78665e9a60dd98faecc5164175_o2_featured_v2.jpg
114,Savi Sagar,https://www.zomato.com/bangalore/savi-sagar-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/18494071/50d900d6533dcd529b93469c6b7c9c0d_o2_featured_v2.jpg
115,Hotel Kadamba Veg,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order,https://b.zmtcdn.com/data/pictures/6/56016/78825ad90e80ae3a1d8897904990ac3a_o2_featured_v2.jpg
116,Sangam Sweets - Since 1964,https://www.zomato.com/bangalore/sangam-sweets-since-1964-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/54670/8a9683e4f510d586345a83fef84ce6e6_o2_featured_v2.jpg
117,The Bake Feast,https://www.zomato.com/bangalore/the-bake-feast-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/19335369/ccb803e6edbd8d519188114fa1e7f475_o2_featured_v2.jpg
118,Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,
119,Call Me Chow,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order,
120,Madurai Idly Shop,https://www.zomato.com/bangalore/madurai-idly-shop-1-koramangala-7th-block-bangalore/order,
121,TrueCakes - Fresh | Eggless | Cakes,https://www.zomato.com/bangalore/truecakes-fresh-eggless-cakes-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19374760/9433df2472f85483c312008909b2acba_o2_featured_v2.jpg
122,Nahdi Mandi,https://www.zomato.com/bangalore/nahdi-mandi-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/6/20847386/f1553f59057f6d26e640a9f2d07c0035_o2_featured_v2.jpg
123,New Shanthi Sagar,https://www.zomato.com/bangalore/new-shanthi-sagar-basavanagudi/order,https://b.zmtcdn.com/data/pictures/chains/7/52277/c9bcaec7b95c4f7f59655d53ee24e7a2_o2_featured_v2.jpg
124,7 Plates,https://www.zomato.com/bangalore/7-plates-frazer-town/order,https://b.zmtcdn.com/data/pictures/chains/8/57978/6ce2bff32e7a11ff553840b0e18ad874_o2_featured_v2.jpg
125,The Taj Hotel,https://www.zomato.com/bangalore/the-taj-hotel-1-city-market-bangalore/order,https://b.zmtcdn.com/data/pictures/0/19663100/a3eb531ce4d5cfc1e7a82a3023dd642c_o2_featured_v2.jpg
126,Chikpet Donne Biriyani House,https://www.zomato.com/bangalore/chikpet-donne-biriyani-house-rajajinagar/order,https://b.zmtcdn.com/data/pictures/5/18555065/ee23e6b45e1f6acbefe8fe6438fde989_o2_featured_v2.jpg
127,FB Cakes,https://www.zomato.com/bangalore/fb-cakes-1-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/0/20631090/d84a615f60795e8b4a80067b5c6c07e2_o2_featured_v2.jpg
128,The Biryani Life,https://www.zomato.com/bangalore/the-biryani-life-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/19225214/aed6598e604214342deaacc7d985257f_o2_featured_v2.jpg
129,Afghani Tandoori Hub,https://www.zomato.com/bangalore/afghani-tandoori-hub-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/2/18791092/38af17cbfa7c62906d376498b852c17d_o2_featured_v2.jpg
130,Kuttanad Restaurant,https://www.zomato.com/bangalore/kuttanad-restaurant-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/7/20951957/083276c163d45672ed6af5e6fd2a76de_o2_featured_v2.jpg
131,New Krishna Sagar,https://www.zomato.com/bangalore/new-krishna-sagar-indiranagar/order,https://b.zmtcdn.com/data/pictures/chains/0/58960/69b3d51103c825a353987bf3902b4a09_o2_featured_v2.jpg
132,Olive Street Food Cafe,https://www.zomato.com/bangalore/olive-street-food-cafe-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/5/20486615/2322e1d218b11e685c6113f0bd3cd93d_o2_featured_v2.jpg
133,India Sweet House,https://www.zomato.com/bangalore/india-sweet-house-2-malleshwaram-bangalore/order,
134,ITC Master Chef Creations,https://www.zomato.com/bangalore/itc-master-chef-creations-commercial-street-bangalore/order,
135,GOPIZZA,https://www.zomato.com/bangalore/gopizza-brigade-road-bangalore/order,
136,Sagar Hotel,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order,https://b.zmtcdn.com/data/pictures/5/55655/fd25d28828c30a7eb03e5fcf57b7173b_o2_featured_v2.jpg
137,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/5/18625825/e6b0fa06a95bfcdbe3f206343d23e2a9_o2_featured_v2.jpg
138,Szechuan Dragon,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order,https://b.zmtcdn.com/data/pictures/chains/5/57325/c7ce215978e8411c1aedc9440814e46d_o2_featured_v2.jpg
139,Meat And Eat,https://www.zomato.com/bangalore/meat-and-eat-domlur/order,https://b.zmtcdn.com/data/pictures/chains/0/57840/2f32447aa2aef630ebdf6005b2a822a3_o2_featured_v2.jpg
140,Biggies Burger,https://www.zomato.com/bangalore/biggies-burger-seshadripuram-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/58829/84678be832c8681b3c4ac007cd32fdbe_o2_featured_v2.jpg
